Date,SPY
2015-01-02,169.68783569335938
2015-01-05,166.62330627441406
2015-01-06,165.05389404296875
2015-01-07,167.11070251464844
2015-01-08,170.0760955810547
2015-01-09,168.71319580078125
2015-01-12,167.39149475097656
2015-01-13,166.9207000732422
2015-01-14,165.9129638671875
2015-01-15,164.39312744140625
2015-01-16,166.5490264892578
2015-01-20,166.90420532226562
2015-01-21,167.74671936035156
2015-01-22,170.2412872314453
2015-01-23,169.30789184570312
2015-01-26,169.70437622070312
2015-01-27,167.46585083007812
2015-01-28,165.3182373046875
2015-01-29,166.84634399414062
2015-01-30,164.74827575683594
2015-02-02,166.7885284423828
2015-02-03,169.2004852294922
2015-02-04,168.55624389648438
2015-02-05,170.25782775878906
2015-02-06,169.7869110107422
2015-02-09,169.0270538330078
2015-02-10,170.82774353027344
2015-02-11,170.92686462402344
2015-02-12,172.57064819335938
2015-02-13,173.28102111816406
2015-02-17,173.55361938476562
2015-02-18,173.57009887695312
2015-02-19,173.44619750976562
2015-02-20,174.4869842529297
2015-02-23,174.46217346191406
2015-02-24,174.95779418945312
2015-02-25,174.80911254882812
2015-02-26,174.6026611328125
2015-02-27,174.00796508789062
2015-03-02,175.10650634765625
2015-03-03,174.3878936767578
2015-03-04,173.65272521972656
2015-03-05,173.8427276611328
2015-03-06,171.397705078125
2015-03-09,172.10804748535156
2015-03-10,169.3161163330078
2015-03-11,168.919677734375
2015-03-12,171.06729125976562
2015-03-13,170.0182342529297
2015-03-16,172.28976440429688
2015-03-17,171.7776641845703
2015-03-18,173.8427276611328
2015-03-19,173.04966735839844
2015-03-20,174.57720947265625
2015-03-23,174.23703002929688
2015-03-24,173.25796508789062
2015-03-25,170.71910095214844
2015-03-26,170.31256103515625
2015-03-27,170.70252990722656
2015-03-30,172.7850799560547
2015-03-31,171.2749786376953
2015-04-01,170.66928100585938
2015-04-02,171.2832489013672
2015-04-06,172.43658447265625
2015-04-07,171.98025512695312
2015-04-08,172.5609893798828
2015-04-09,173.32440185546875
2015-04-10,174.27017211914062
2015-04-13,173.4819793701172
2015-04-14,173.8139190673828
2015-04-15,174.59381103515625
2015-04-16,174.5440673828125
2015-04-17,172.53614807128906
2015-04-20,174.1125946044922
2015-04-21,173.9051971435547
2015-04-22,174.7597198486328
2015-04-23,175.19949340820312
2015-04-24,175.6060333251953
2015-04-27,174.87586975097656
2015-04-28,175.43182373046875
2015-04-29,174.70999145507812
2015-04-30,172.95924377441406
2015-05-01,174.83441162109375
2015-05-04,175.3321990966797
2015-05-05,173.32440185546875
2015-05-06,172.61080932617188
2015-05-07,173.29949951171875
2015-05-08,175.58114624023438
2015-05-11,174.74317932128906
2015-05-12,174.22044372558594
2015-05-13,174.2536163330078
2015-05-14,176.0706787109375
2015-05-15,176.26145935058594
2015-05-18,176.80911254882812
2015-05-19,176.7510223388672
2015-05-20,176.62657165527344
2015-05-21,177.1409454345703
2015-05-22,176.7178497314453
2015-05-26,174.8178253173828
2015-05-27,176.4772491455078
2015-05-28,176.27809143066406
2015-05-29,175.18284606933594
2015-06-01,175.53968811035156
2015-06-02,175.36541748046875
2015-06-03,175.83006286621094
2015-06-04,174.34490966796875
2015-06-05,174.0461883544922
2015-06-08,172.9758758544922
2015-06-09,172.950927734375
2015-06-10,175.02523803710938
2015-06-11,175.5894012451172
2015-06-12,174.2453155517578
2015-06-15,173.49862670898438
2015-06-16,174.44448852539062
2015-06-17,174.72653198242188
2015-06-18,176.54360961914062
2015-06-19,175.75985717773438
2015-06-22,176.66030883789062
2015-06-23,176.78538513183594
2015-06-24,175.5014190673828
2015-06-25,174.96780395507812
2015-06-26,174.9344024658203
2015-06-29,171.2660675048828
2015-06-30,171.62452697753906
2015-07-01,173.0001983642578
2015-07-02,172.841796875
2015-07-06,172.3499298095703
2015-07-07,173.43374633789062
2015-07-08,170.52406311035156
2015-07-09,170.83253479003906
2015-07-10,172.98350524902344
2015-07-13,174.89283752441406
2015-07-14,175.65142822265625
2015-07-15,175.5931396484375
2015-07-16,177.00218200683594
2015-07-17,177.15220642089844
2015-07-20,177.24392700195312
2015-07-21,176.54360961914062
2015-07-22,176.22682189941406
2015-07-23,175.2345733642578
2015-07-24,173.4170379638672
2015-07-27,172.40821838378906
2015-07-28,174.52598571777344
2015-07-29,175.72653198242188
2015-07-30,175.76824951171875
2015-07-31,175.5014190673828
2015-08-03,174.90945434570312
2015-08-04,174.56761169433594
2015-08-05,175.1428985595703
2015-08-06,173.7088623046875
2015-08-07,173.3753662109375
2015-08-10,175.55979919433594
2015-08-11,173.97564697265625
2015-08-12,174.18408203125
2015-08-13,173.9673309326172
2015-08-14,174.60096740722656
2015-08-17,175.576416015625
2015-08-18,175.06784057617188
2015-08-19,173.6838836669922
2015-08-20,170.05712890625
2015-08-21,164.93798828125
2015-08-24,157.99295043945312
2015-08-25,156.1337890625
2015-08-26,162.1282958984375
2015-08-27,166.1385498046875
2015-08-28,166.14694213867188
2015-08-31,164.8046112060547
2015-09-01,159.8855438232422
2015-09-02,162.9203643798828
2015-09-03,163.03704833984375
2015-09-04,160.5691680908203
2015-09-08,164.6044921875
2015-09-09,162.4033966064453
2015-09-10,163.28726196289062
2015-09-11,164.0292205810547
2015-09-14,163.4205780029297
2015-09-15,165.46327209472656
2015-09-16,166.8972930908203
2015-09-17,166.52207946777344
2015-09-18,163.80088806152344
2015-09-21,164.6473388671875
2015-09-22,162.51026916503906
2015-09-23,162.25045776367188
2015-09-24,161.663818359375
2015-09-25,161.6219024658203
2015-09-28,157.5655975341797
2015-09-29,157.65782165527344
2015-09-30,160.59939575195312
2015-10-01,161.0184783935547
2015-10-02,163.42373657226562
2015-10-05,166.33184814453125
2015-10-06,165.7619171142578
2015-10-07,167.1196746826172
2015-10-08,168.62818908691406
2015-10-09,168.72869873046875
2015-10-12,168.88795471191406
2015-10-13,167.82362365722656
2015-10-14,167.0189971923828
2015-10-15,169.58358764648438
2015-10-16,170.3545684814453
2015-10-19,170.43833923339844
2015-10-20,170.2205047607422
2015-10-21,169.16455078125
2015-10-22,172.02232360839844
2015-10-23,173.90794372558594
2015-10-26,173.48056030273438
2015-10-27,173.1453857421875
2015-10-28,175.11483764648438
2015-10-29,175.01425170898438
2015-10-30,174.25997924804688
2015-11-02,176.32167053222656
2015-11-03,176.8328399658203
2015-11-04,176.29649353027344
2015-11-05,176.12049865722656
2015-11-06,176.02828979492188
2015-11-09,174.38568115234375
2015-11-10,174.78793334960938
2015-11-11,174.10076904296875
2015-11-12,171.67034912109375
2015-11-13,169.74276733398438
2015-11-16,172.32403564453125
2015-11-17,172.1983184814453
2015-11-18,174.93040466308594
2015-11-19,174.7795867919922
2015-11-20,175.41650390625
2015-11-23,175.21542358398438
2015-11-24,175.45001220703125
2015-11-25,175.42489624023438
2015-11-27,175.62600708007812
2015-11-30,174.8969268798828
2015-12-01,176.5646514892578
2015-12-02,174.76283264160156
2015-12-03,172.31565856933594
2015-12-04,175.67633056640625
2015-12-07,174.61195373535156
2015-12-08,173.43870544433594
2015-12-09,172.08934020996094
2015-12-10,172.53353881835938
2015-12-11,169.18963623046875
2015-12-14,170.0445098876953
2015-12-15,171.82960510253906
2015-12-16,174.34381103515625
2015-12-17,171.68711853027344
2015-12-18,168.62850952148438
2015-12-21,170.01954650878906
2015-12-22,171.56236267089844
2015-12-23,173.68685913085938
2015-12-24,173.40017700195312
2015-12-28,173.0039520263672
2015-12-29,174.85028076171875
2015-12-30,173.61094665527344
2015-12-31,171.87428283691406
2016-01-04,169.4715576171875
2016-01-05,169.7581787109375
2016-01-06,167.61683654785156
2016-01-07,163.5953826904297
2016-01-08,161.7996826171875
2016-01-11,161.9598846435547
2016-01-12,163.2666473388672
2016-01-13,159.1946563720703
2016-01-14,161.8081512451172
2016-01-15,158.3347625732422
2016-01-19,158.54547119140625
2016-01-20,156.5137481689453
2016-01-21,157.39047241210938
2016-01-22,160.6194305419922
2016-01-25,158.19142150878906
2016-01-26,160.34967041015625
2016-01-27,158.60452270507812
2016-01-28,159.43067932128906
2016-01-29,163.31719970703125
2016-02-01,163.25816345214844
2016-02-02,160.31597900390625
2016-02-03,161.27703857421875
2016-02-04,161.52996826171875
2016-02-05,158.4528045654297
2016-02-08,156.31983947753906
2016-02-09,156.32830810546875
2016-02-10,156.19342041015625
2016-02-11,154.16159057617188
2016-02-12,157.3399658203125
2016-02-16,159.99557495117188
2016-02-17,162.60906982421875
2016-02-18,161.94308471679688
2016-02-19,161.8671417236328
2016-02-22,164.2108917236328
2016-02-23,162.13690185546875
2016-02-24,162.87884521484375
2016-02-25,164.8515625
2016-02-26,164.4722137451172
2016-02-29,163.1822967529297
2016-03-01,167.01824951171875
2016-03-02,167.76856994628906
2016-03-03,168.4261474609375
2016-03-04,168.9741668701172
2016-03-07,169.10903930664062
2016-03-08,167.26275634765625
2016-03-09,168.08897399902344
2016-03-10,168.2238006591797
2016-03-11,170.93846130371094
2016-03-14,170.7192840576172
2016-03-15,170.4410400390625
2016-03-16,171.427490234375
2016-03-17,172.51502990722656
2016-03-18,173.19297790527344
2016-03-21,173.43869018554688
2016-03-22,173.34544372558594
2016-03-23,172.20144653320312
2016-03-24,172.1251983642578
2016-03-28,172.22686767578125
2016-03-29,173.8199462890625
2016-03-30,174.58267211914062
2016-03-31,174.15892028808594
2016-04-01,175.34532165527344
2016-04-04,174.77761840820312
2016-04-05,173.0319061279297
2016-04-06,174.9216766357422
2016-04-07,172.82847595214844
2016-04-08,173.29461669921875
2016-04-11,172.88780212402344
2016-04-12,174.4979705810547
2016-04-13,176.26051330566406
2016-04-14,176.26901245117188
2016-04-15,176.07406616210938
2016-04-18,177.3113555908203
2016-04-19,177.87060546875
2016-04-20,178.04006958007812
2016-04-21,177.08253479003906
2016-04-22,177.08253479003906
2016-04-25,176.77743530273438
2016-04-26,177.04014587402344
2016-04-27,177.40452575683594
2016-04-28,175.79440307617188
2016-04-29,174.8453826904297
2016-05-02,176.235107421875
2016-05-03,174.70130920410156
2016-05-04,173.72679138183594
2016-05-05,173.69288635253906
2016-05-06,174.32843017578125
2016-05-09,174.47250366210938
2016-05-10,176.641845703125
2016-05-11,174.9894256591797
2016-05-12,175.04026794433594
2016-05-13,173.5149383544922
2016-05-16,175.2266845703125
2016-05-17,173.59121704101562
2016-05-18,173.64207458496094
2016-05-19,173.04037475585938
2016-05-20,174.13356018066406
2016-05-23,173.896240234375
2016-05-24,176.1503448486328
2016-05-25,177.3451690673828
2016-05-26,177.39605712890625
2016-05-27,178.15866088867188
2016-05-31,177.81979370117188
2016-06-01,178.18411254882812
2016-06-02,178.72650146484375
2016-06-03,178.1925811767578
2016-06-06,179.09933471679688
2016-06-07,179.3789825439453
2016-06-08,179.963623046875
2016-06-09,179.7179412841797
2016-06-10,178.0146484375
2016-06-13,176.641845703125
2016-06-14,176.29440307617188
2016-06-15,176.0487060546875
2016-06-16,176.57408142089844
2016-06-17,175.9164276123047
2016-06-20,177.0493927001953
2016-06-21,177.552001953125
2016-06-22,177.26234436035156
2016-06-23,179.57077026367188
2016-06-24,173.1224822998047
2016-06-27,170.02188110351562
2016-06-28,173.0885009765625
2016-06-29,176.03570556640625
2016-06-30,178.4378662109375
2016-07-01,178.81265258789062
2016-07-05,177.52635192871094
2016-07-06,178.59115600585938
2016-07-07,178.4804229736328
2016-07-08,181.13807678222656
2016-07-11,181.77691650390625
2016-07-12,183.0972900390625
2016-07-13,183.07171630859375
2016-07-14,184.09388732910156
2016-07-15,183.84686279296875
2016-07-18,184.34092712402344
2016-07-19,184.15354919433594
2016-07-20,184.92013549804688
2016-07-21,184.2216796875
2016-07-22,185.04794311523438
2016-07-25,184.5453643798828
2016-07-26,184.63052368164062
2016-07-27,184.43460083007812
2016-07-28,184.64761352539062
2016-07-29,184.94569396972656
2016-08-01,184.7923126220703
2016-08-02,183.6083526611328
2016-08-03,184.1449432373047
2016-08-04,184.34092712402344
2016-08-05,185.8485870361328
2016-08-08,185.73785400390625
2016-08-09,185.8485870361328
2016-08-10,185.38864135742188
2016-08-11,186.24896240234375
2016-08-12,186.08709716796875
2016-08-15,186.62374877929688
2016-08-16,185.66119384765625
2016-08-17,186.01046752929688
2016-08-18,186.42782592773438
2016-08-19,186.1552734375
2016-08-22,186.14671325683594
2016-08-23,186.52151489257812
2016-08-24,185.56752014160156
2016-08-25,185.43972778320312
2016-08-26,185.09043884277344
2016-08-29,186.00196838378906
2016-08-30,185.69528198242188
2016-08-31,185.16717529296875
2016-09-01,185.17568969726562
2016-09-02,186.01046752929688
2016-09-06,186.57264709472656
2016-09-07,186.5555877685547
2016-09-08,186.12969970703125
2016-09-09,181.67474365234375
2016-09-12,184.28125
2016-09-13,181.6321258544922
2016-09-14,181.56399536132812
2016-09-15,183.37835693359375
2016-09-16,182.6695098876953
2016-09-19,182.7036895751953
2016-09-20,182.7122802734375
2016-09-21,184.76702880859375
2016-09-22,185.93128967285156
2016-09-23,184.91246032714844
2016-09-26,183.41427612304688
2016-09-27,184.55294799804688
2016-09-28,185.46890258789062
2016-09-29,183.7909698486328
2016-09-30,185.17796325683594
2016-10-03,184.73272705078125
2016-10-04,183.7909698486328
2016-10-05,184.60427856445312
2016-10-06,184.73272705078125
2016-10-07,184.09921264648438
2016-10-10,185.05799865722656
2016-10-11,182.7208251953125
2016-10-12,182.9605712890625
2016-10-13,182.36126708984375
2016-10-14,182.45545959472656
2016-10-17,181.82191467285156
2016-10-18,182.9605712890625
2016-10-19,183.44854736328125
2016-10-20,183.10609436035156
2016-10-21,183.1917266845703
2016-10-24,183.9707794189453
2016-10-25,183.3543701171875
2016-10-26,182.98622131347656
2016-10-27,182.4982452392578
2016-10-28,181.95889282226562
2016-10-31,181.9674835205078
2016-11-01,180.6490936279297
2016-11-02,179.56178283691406
2016-11-03,178.7399139404297
2016-11-04,178.5430450439453
2016-11-07,182.48114013671875
2016-11-08,183.30303955078125
2016-11-09,185.24642944335938
2016-11-10,185.7086639404297
2016-11-11,185.28062438964844
2016-11-14,185.42617797851562
2016-11-15,186.87303161621094
2016-11-16,186.52200317382812
2016-11-17,187.48081970214844
2016-11-18,187.0613555908203
2016-11-21,188.47393798828125
2016-11-22,188.8420867919922
2016-11-23,188.94476318359375
2016-11-25,189.64686584472656
2016-11-28,188.7564697265625
2016-11-29,189.12460327148438
2016-11-30,188.6708526611328
2016-12-01,187.9774627685547
2016-12-02,188.0715789794922
2016-12-05,189.20164489746094
2016-12-06,189.80088806152344
2016-12-07,192.28366088867188
2016-12-08,192.75450134277344
2016-12-09,193.91883850097656
2016-12-12,193.69627380371094
2016-12-13,194.98899841308594
2016-12-14,193.3795166015625
2016-12-15,194.17568969726562
2016-12-16,193.79591369628906
2016-12-19,194.21788024902344
2016-12-20,194.9671173095703
2016-12-21,194.42457580566406
2016-12-22,194.08868408203125
2016-12-23,194.3729248046875
2016-12-27,194.85516357421875
2016-12-28,193.2447967529297
2016-12-29,193.20172119140625
2016-12-30,192.4955291748047
2017-01-03,193.96815490722656
2017-01-04,195.12208557128906
2017-01-05,194.9671173095703
2017-01-06,195.66464233398438
2017-01-09,195.018798828125
2017-01-10,195.018798828125
2017-01-11,195.5698699951172
2017-01-12,195.0790557861328
2017-01-13,195.5268096923828
2017-01-17,194.83790588378906
2017-01-18,195.26849365234375
2017-01-19,194.5450897216797
2017-01-20,195.25987243652344
2017-01-23,194.75181579589844
2017-01-24,196.0005340576172
2017-01-25,197.6969757080078
2017-01-26,197.4902801513672
2017-01-27,197.1802978515625
2017-01-30,195.9574432373047
2017-01-31,195.94021606445312
2017-02-01,196.01771545410156
2017-02-02,196.14691162109375
2017-02-03,197.4989013671875
2017-02-06,197.1457977294922
2017-02-07,197.15444946289062
2017-02-08,197.41278076171875
2017-02-09,198.583984375
2017-02-10,199.36766052246094
2017-02-13,200.45274353027344
2017-02-14,201.2535858154297
2017-02-15,202.30419921875
2017-02-16,202.13194274902344
2017-02-17,202.45057678222656
2017-02-21,203.65625
2017-02-22,203.47531127929688
2017-02-23,203.6132354736328
2017-02-24,203.87149047851562
2017-02-27,204.19009399414062
2017-02-28,203.63902282714844
2017-03-01,206.4894561767578
2017-03-02,205.1891632080078
2017-03-03,205.3182830810547
2017-03-06,204.70681762695312
2017-03-07,204.09542846679688
2017-03-08,203.71649169921875
2017-03-09,203.97488403320312
2017-03-10,204.68960571289062
2017-03-13,204.79293823242188
2017-03-14,204.0093231201172
2017-03-15,205.77467346191406
2017-03-16,205.36988830566406
