Date,SPY
2015-01-02,169.6878662109375
2015-01-05,166.62335205078125
2015-01-06,165.0539093017578
2015-01-07,167.1106719970703
2015-01-08,170.07606506347656
2015-01-09,168.71310424804688
2015-01-12,167.39154052734375
2015-01-13,166.92076110839844
2015-01-14,165.9129180908203
2015-01-15,164.3931121826172
2015-01-16,166.5490264892578
2015-01-20,166.9041748046875
2015-01-21,167.74673461914062
2015-01-22,170.24131774902344
2015-01-23,169.30789184570312
2015-01-26,169.70440673828125
2015-01-27,167.46585083007812
2015-01-28,165.31829833984375
2015-01-29,166.84634399414062
2015-01-30,164.74832153320312
2015-02-02,166.7885284423828
2015-02-03,169.2004852294922
2015-02-04,168.55618286132812
2015-02-05,170.25778198242188
2015-02-06,169.78695678710938
2015-02-09,169.02703857421875
2015-02-10,170.82777404785156
2015-02-11,170.92684936523438
2015-02-12,172.57061767578125
2015-02-13,173.28094482421875
2015-02-17,173.5536346435547
2015-02-18,173.5701141357422
2015-02-19,173.44622802734375
2015-02-20,174.4870147705078
2015-02-23,174.4622039794922
2015-02-24,174.95777893066406
2015-02-25,174.8091583251953
2015-02-26,174.6026153564453
2015-02-27,174.0078887939453
2015-03-02,175.1064910888672
2015-03-03,174.3878173828125
2015-03-04,173.65269470214844
2015-03-05,173.8427276611328
2015-03-06,171.39768981933594
2015-03-09,172.10804748535156
2015-03-10,169.3161163330078
2015-03-11,168.91969299316406
2015-03-12,171.06732177734375
2015-03-13,170.0182647705078
2015-03-16,172.28985595703125
2015-03-17,171.7776336669922
2015-03-18,173.8427276611328
2015-03-19,173.0497283935547
2015-03-20,174.57723999023438
2015-03-23,174.23703002929688
2015-03-24,173.2580108642578
2015-03-25,170.71913146972656
2015-03-26,170.3125762939453
2015-03-27,170.70252990722656
2015-03-30,172.78506469726562
2015-03-31,171.27496337890625
2015-04-01,170.66934204101562
2015-04-02,171.2833251953125
2015-04-06,172.4365997314453
2015-04-07,171.980224609375
2015-04-08,172.56101989746094
2015-04-09,173.3242950439453
2015-04-10,174.2702178955078
2015-04-13,173.4820098876953
2015-04-14,173.8138885498047
2015-04-15,174.59378051757812
2015-04-16,174.5439910888672
2015-04-17,172.53616333007812
2015-04-20,174.11251831054688
2015-04-21,173.90518188476562
2015-04-22,174.759765625
2015-04-23,175.1994171142578
2015-04-24,175.6060333251953
2015-04-27,174.87588500976562
2015-04-28,175.43177795410156
2015-04-29,174.70994567871094
2015-04-30,172.959228515625
2015-05-01,174.83444213867188
2015-05-04,175.33218383789062
2015-05-05,173.3242950439453
2015-05-06,172.61074829101562
2015-05-07,173.29945373535156
2015-05-08,175.58114624023438
2015-05-11,174.7431182861328
2015-05-12,174.22047424316406
2015-05-13,174.253662109375
2015-05-14,176.07064819335938
2015-05-15,176.2615203857422
2015-05-18,176.80911254882812
2015-05-19,176.7510223388672
2015-05-20,176.6265869140625
2015-05-21,177.1409912109375
2015-05-22,176.71786499023438
2015-05-26,174.81777954101562
2015-05-27,176.47720336914062
2015-05-28,176.27810668945312
2015-05-29,175.18292236328125
2015-06-01,175.53968811035156
2015-06-02,175.36541748046875
2015-06-03,175.8300323486328
2015-06-04,174.34490966796875
2015-06-05,174.04623413085938
2015-06-08,172.975830078125
2015-06-09,172.95095825195312
2015-06-10,175.0252227783203
2015-06-11,175.5894317626953
2015-06-12,174.2453155517578
2015-06-15,173.49859619140625
2015-06-16,174.4444580078125
2015-06-17,174.72654724121094
2015-06-18,176.54359436035156
2015-06-19,175.75985717773438
2015-06-22,176.66029357910156
2015-06-23,176.7853546142578
